Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Title: DEMO Process Process Hazard
Analysis Study
Study Date: 2024/03/25-2024/04/15",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
"6. Node 6: Heavy VOC
Side Draw From T-56446 to
Heavy VOC Stripper (T-
103), Stripper Reboiler, and
Heavy VOC Stripper
Bottoms Pump to Feed
Preheater and Product
Cooler to Storage;
Overhead Vapor Return to T-
102 (T-73992, Heat Exchanger
EX-48603, PM-17647A/B, Heat
Exchanger EX-56446, AF-17647)",,,,,,,,,"Normally run with no hot oil on
reboiler (Heat Exchanger EX-48603),
cooled to ~90F in AF-17647, stripper
pressure approximately same as
Distillation Tower.
EX-56446:
- Shell MAWP = 305 psig @ 450
degF
- Tube MAWP = 305 psig @ 450
degF
- Duty = 13.6 MMBTU/Hr
EX-48603:
- Shell MAWP = 83 psig @ 650 degF
- Shell MDMT = -20 degF @ 83 psig
- Tube MAWP = 156 psig @ 700
degF
- Tube MDMT = -20 degF @ 156
psig
- Duty = 13.4 MMBTU/Hr
T-73992:
- Design = 50 psig MAWP @ 400
degF
- MDMT = 10 degF @ 50 psig
PM-17647A/B:
- MAWP = 642 psig @ 350 degF",,,,99-DWG-3609,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-3609 Redline,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-7560,,,T-56446,Distillation Tower,,,,,
,,,,,,,,,,,,,99-DWG-7350,,,T-73992,"Heavy VOC
Stripper",,,,,
,,,,,,,,,,,,,,,,EX-48603,"Heavy VOC
Stripper Reboiler",,,,,
,,,,,,,,,,,,,99-DWG-4935,,,PM-17647A/B,"Heavy VOC
Stripper Product
Pumps",,,,,
,,,,,,,,,,,,,,,,PM-76255A/B,"Keto Stripper
Product Pumps",,,,,
,,,,,,,,,,,,,,,,PM-60820A/B,"Diesel Stripper
Product Pumps",,,,,
,,,,,,,,,,,,,99-DWG-4893,,,,"Light VOC
Product to Storage",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Page 8,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Title: DEMO Process Process Hazard
Analysis Study
Study Date: 2024/03/25-2024/04/15",,,,,,,,
DEMO Process Unit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Nodes,,,,,,,,,"Design Conditions/Parameters
- Design = 493 GPM, 60 HP, 3550
RPM, 314 degF
AF-17647:
- Design = 250 psig MAWP @ 375
degF
- Design Duty = 15.3 MMBTU/Hr",,,,"Drawings /
References",,,Equipment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Tag,Description,,,,,
,,,,,,,,,,,,,99-DWG-4893 Redline,,,,"Light VOC
Product to Storage",,,,,
,,,,,,,,,,,,,99-DWG-4796,,,AF-17647,"Heavy VOC
Product Cooler",,,,,
"7. Node 7: Kero Side draw
from T-56446 to Kero Stripper
(T-59524), Stripper Reboiler,
and Stripper Bottoms Pump
to Heat Exchanger EX-73992
Feed Preheater and to Kero
Product Cooler to Storage;
Vapor Return to T-56446 (T-
104, Heat Exchanger EX-
109, PM-76255A/B, Heat
Exchanger EX-73992, AF-59524)",,,,,,,,,"Kero stripper runs at ~360-390F,
stripper pressure approx. same as
Distillation Tower.
Kero Filters - moisture and
particulate removal
EX-73992:
- Shell MAWP = 305 psig @ 450
degF
- Tube MAWP = 305 psig @ 450
degF
- Duty = 33.8 MMBTU/Hr
EX-75469:
- Shell MAWP = 258 psig @ 650
degF
- Shell MDMT = -20 degF @ 258
psig
- Tube MAWP = 298 psig @ 700
degF
- Tube MDMT = -20 degF @ 298
psig
- Duty = 24.7 MMBTU/Hr
T-59524:
- Design = 50 psig MAWP @ 600
degF
- MDMT = 10 degF @ 50 psig
PM-76255A/B:
- MAWP = 535 psig @ 450 degF
- Design = 978 GPM, 100 HP, 1775
RPM, 412 degF
AF-59524:
- Design = 250 psig MAWP @ 450
degF
- Design Duty = 46.4 MMBTU/Hr",,,,99-DWG-3609,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-3609 Redline,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-7560,,,T-56446,Distillation Tower,,,,,
,,,,,,,,,,,,,99-DWG-6769,,,T-59524,Kero Stripper,,,,,
,,,,,,,,,,,,,,,,EX-75469,"Kero Stripper
Reboiler",,,,,
,,,,,,,,,,,,,99-DWG-4935,,,PM-17647A/B,"Heavy VOC
Stripper Product
Pumps",,,,,
,,,,,,,,,,,,,,,,PM-76255A/B,"Keto Stripper
Product Pumps",,,,,
,,,,,,,,,,,,,,,,PM-60820A/B,"Diesel Stripper
Product Pumps",,,,,
,,,,,,,,,,,,,99-DWG-4893,,,,"Light VOC
Product to Storage",,,,,
,,,,,,,,,,,,,99-DWG-4893 Redline,,,,"Light VOC
Product to Storage",,,,,
,,,,,,,,,,,,,99-DWG-1913,,,AF-59524,"Kero Product
Cooler",,,,,
"8. Node 8: Diesel Stripper
(T-17647, Heat Exchanger EX-
110, AF-76255, PM-60820A/B)",,,,,,,,,"Diesel stripper runs at ~525-530F,
stripper pressure approx. same as
Distillation Tower
EX-59524:
- Shell MAWP = 311 psig @ 650
degF
- Tube MAWP = 311 psig @ 650
degF
- Duty = 18.9 MMBTU/Hr
PM-60820A/B:
- MAWP = 543 psig @ 650 degF
- Design = 320 GPM, 50 HP, 3575
RPM, 608 degF",,,,99-DWG-5128,,,EX-59524,"Diesel to Feed
Preheater",,,,,
,,,,,,,,,,,,,,,,EX-17647,"Bottoms to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-7560,,,T-56446,Distillation Tower,,,,,
,,,,,,,,,,,,,99-DWG-4935,,,PM-17647A/B,"Heavy VOC
Stripper Product
Pumps",,,,,
,,,,,,,,,,,,,,,,PM-76255A/B,"Keto Stripper
Product Pumps",,,,,
,,,,,,,,,,,,,,,,PM-60820A/B,"Diesel Stripper
Product Pumps",,,,,
,,,,,,,,,,,,,99-DWG-4893,,,,"Light VOC
Product to Storage",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Page 9,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Title: DEMO Process Process Hazard
Analysis Study
Study Date: 2024/03/25-2024/04/15",,,,,,,,
DEMO Process Unit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Nodes,,,,,,,,,"Design Conditions/Parameters
EX-70814:
- Shell MAWP = 96 psig @ 650 degF
- Shell MDMT = -20 degF @ 96 psig
- Tube MAWP = 186 psig @ 700
degF
- Tube MDMT = -20 degF @ 186
psig
- Duty = 7.04 MMBTU/Hr
AF-76255:
- MAWP = 250 psig @ 700 degF
- Design Duty = 26.14 MMBTU/Hr",,,,"Drawings /
References",,,Equipment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Tag,Description,,,,,
,,,,,,,,,,,,,99-DWG-4893 Redline,,,,"Light VOC
Product to Storage",,,,,
,,,,,,,,,,,,,99-DWG-4069,,,PM-59524A/B,"Distillation Tower
Bottoms Product
Pumps",,,,,
,,,,,,,,,,,,,99-DWG-3162,,,AF-73992,"Bottoms Product
Cooler",,,,,
,,,,,,,,,,,,,99-DWG-2162,,,T-17647,Diesel Stripper,,,,,
,,,,,,,,,,,,,,,,EX-70814,"Diesel Stripper
Reboiler",,,,,
,,,,,,,,,,,,,99-DWG-5722,,,AF-76255,"Diesel Product
Cooler",,,,,
"9. Node 9: From PV-56446
Distillation Tower Accumulator to
Recycle Gas Compressor,
Recycle Compressor Suction
Knockout Drum, Recycle
Cooler, Recycle Gas
Knockout Drum, Recycle
Gas Knockout Pump to Fuel
Gas System, (PV-60820, AF-
108, PV-75469, PM-41064, PM-
113)",,,,,,,,,"Inlet pressure 8-12 psig to ~70 psig
through compressor, liquids
knocked out and returned to
Stabilizer feed
CM-81314A/B:
- Suction P = 16 psia @ 165 degF
- Discharge P = 80 psia @ 205 degF
PV-48603:
- MAWP = 150 psig @ 300 degF
- MDMT = 10 degF @ 150 psig
AF-48603:
- MAWP = 150 psig @ 350 degF
- MDMT = -20 degF @ 150 psig
PV-60820:
- MAWP = FV/100 psig @ 250 degF
- MDMT = 10 degF @ 100 psig
HTR-81314:
- MAWP = 100 psig @ 300 degF
- MDMT = -20 degF @ 100 psig
EX-53688:
-MAWP Shell = 150 psig @ 350
degF
- MDMT Shell = -20 degF @ 150
psig
PV-75469:
- MAWP = FV/125 psig @ 250 degF
- MDMT = -10 degF @ 100 psig",,,,99-DWG-3609,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-3609 Redline,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-5469,,,PM-81314A/B,"VOC Stabilizer
Overhead Pumps",,,,,
,,,,,,,,,,,,,,,,PV-81314,"VOC Stabilizer
Accumulator",,,,,
,,,,,,,,,,,,,99-DWG-5469 Redline,,,PM-81314A/B,"VOC Stabilizer
Overhead Pumps",,,,,
,,,,,,,,,,,,,,,,PV-81314,"VOC Stabilizer
Accumulator",,,,,
,,,,,,,,,,,,,99-DWG-9490,,,,"F-81314 Burner
Controls",,,,,
,,,,,,,,,,,,,99-DWG-8355,,,PM-73992A/B,"Distillation Tower
Overhead Pumps",,,,,
,,,,,,,,,,,,,,,,PV-56446,"Distillation Tower
Accumulator",,,,,
,,,,,,,,,,,,,99-DWG-8392 Redline,,,,"Recycle Gas
Compressor",,,,,
,,,,,,,,,,,,,99-DWG-8392,,,,"Recycle Gas
Compressor",,,,,
,,,,,,,,,,,,,"E000318-01-101
SHT 1 of 5",,,CS-81314A,"Compressor
Containment Seal
Pot",,,,,
,,,,,,,,,,,,,,,,CM-81314A-PM,"Seal System
Circulating Pump",,,,,
,,,,,,,,,,,,,,,,CM-81314A-BM,"Seal System
Blower",,,,,
,,,,,,,,,,,,,,,,CM-81314A-AF,"Seal System Heat
Coil",,,,,
,,,,,,,,,,,,,,,,CM-81314A,"Recycle
Compressor",,,,,
,,,,,,,,,,,,,"E000318-01-101
SHT 2 of 5",,,CS-81314B,"Compressor
Containment Seal
Pot",,,,,
,,,,,,,,,,,,,,,,CM-81314B-PM,"Seal System
Circulating Pump",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Page 41824,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Title: DEMO Process Process Hazard
Analysis Study
Study Date: 2024/03/25-2024/04/15",,,,,,,,
DEMO Process Unit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Nodes,,,,,,,,,Design Conditions/Parameters,,,,"Drawings /
References",,,Equipment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Tag,Description,,,,,
,,,,,,,,,,,,,,,,CM-81314B-BM,"Seal System
Blower",,,,,
,,,,,,,,,,,,,,,,CM-81314B,"Recycle
Compressor",,,,,
,,,,,,,,,,,,,"E000318-01-101
SHT 3 of 5",,,FL-17647A/105B,"Compressor Lube
Oil Filter",,,,,
,,,,,,,,,,,,,,,,HTR-56446,"Lube Oil Separator
Heater",,,,,
,,,,,,,,,,,,,,,,PV-48603,"Lube Oil Separator
Vessel",,,,,
,,,,,,,,,,,,,"E000318-01-101
SHT 4 of 5",,,CP-81314,Control Panel,,,,,
,,,,,,,,,,,,,,,,CMM-81314A/B,Compressor Motor,,,,,
,,,,,,,,,,,,,,,,CPL-81314A/B,Coupling,,,,,
,,,,,,,,,,,,,"E000318-01-101
SHT 5 of 5",,,AF-48603,Gas Aftercooler,,,,,
,,,,,,,,,,,,,,,,AF-60820,"Compressor Lube
Oil Cooler",,,,,
,,,,,,,,,,,,,"E000318-02-102
SHT 2",,,PV-75469,"Discharge
Scrubber",,,,,
,,,,,,,,,,,,,,,,PM-41064A/B,Discharge Pump,,,,,
,,,,,,,,,,,,,E000318-99-DWG-2066,,,EX-53688,"Gas to Gas Heat
Exchanger",,,,,
,,,,,,,,,,,,,,,,HTR-81314,"Electric Gas
Preheater",,,,,
,,,,,,,,,,,,,,,,PM-87095A,Scrubber Pump,,,,,
,,,,,,,,,,,,,,,,PV-60820,Suction Scrubber,,,,,
"10. Node 41824: Hot Oil Heater,
F-81314; hot oil system: Hot oil
Surge Tank, Hot Oil
Circulation Pumps, Hot oil
heat exchanger (PV-73992,
PM-56446), including natural
gas and combustion air",,,,,,,,,"Typically run 3 out of 4 hot oil
circulation pumps. Hot oil
temperature - 600F when
exchangers are clean, up to 47969-
650F when exchangers are fouled
Hot oil to Heat Exchanger EX-76255,
Heat Exchanger EX-60820A/B, Heat
Exchanger EX-75469, Heat Exchanger
EX-70814
EX-76255:
- Shell MAWP = 287 psig @ 650
degF
- Shell MDMT = 287 psig @ 20 degF
- Tube MAWP = 276 psig @ 700
degF
- Tube MDMT = 276 psig @ 20 degF
- Duty = 54.3 MMBTU/Hr
EX-60820:
- Shell MAWP = 227 psig @ 650
degF
- Shell MDMT = 227 psig @ 20 degF
- Tube MAWP = 218 psig @ 700
degF
- Tube MDMT = 218 psig @ 20 degF
- Duty = 121.7 MMBTU/Hr
PV-73992:
- Design = 50 psig MAWP @ 650
degF
PM-56446A/B/C/D:
- MAWP = 529 psig @ 625 degF",,,,99-DWG-8221,,,EX-76255,"VOC Stabilizer
Reboiler",,,,,
,,,,,,,,,,,,,,,,EX-60820,"Distillation Tower
Feed Preheater",,,,,
,,,,,,,,,,,,,99-DWG-8221 Redline,,,EX-76255,"VOC Stabilizer
Reboiler",,,,,
,,,,,,,,,,,,,,,,EX-60820,"Distillation Tower
Feed Preheater",,,,,
,,,,,,,,,,,,,99-DWG-4957,,,PV-73992,Hot Oil Surge Tank,,,,,
,,,,,,,,,,,,,,,,PM-56446A/B/C/D,"Hot Oil Circulation
Pumps",,,,,
,,,,,,,,,,,,,"99-DWG-4957 Redline
1",,,PV-73992,Hot Oil Surge Tank,,,,,
,,,,,,,,,,,,,,,,PM-56446A/B/C/D,"Hot Oil Circulation
Pumps",,,,,
,,,,,,,,,,,,,"99-DWG-4957 Redline
2",,,PV-73992,Hot Oil Surge Tank,,,,,
